,mse_score,trial_id,return_period,seq_len,lr,momentum,optim_type,num_layers,hidden_size,num_fc_layers,activation_type
557,0.03419127908210333,011e8_00557,2,2,0.01,0.22246152592773277,2,1,8,1,3
943,0.03419247368475528,011e8_00943,2,2,0.1,0.7304342232228148,2,4,128,3,2
757,0.034208428623816026,011e8_00757,2,2,0.1,0.5882566651917384,2,2,32,2,2
283,0.03420918832347938,011e8_00283,2,2,0.001,0.8509608751453621,1,4,128,1,2
2064,0.03421436303640698,011e8_02064,3,2,0.1,0.5867256649521997,2,8,64,1,1
476,0.03421808215552548,011e8_00476,2,2,0.01,0.597163482350733,1,8,64,2,3
149,0.034226440876540316,011e8_00149,2,2,0.001,0.18358137896137922,1,2,128,1,3
1821,0.03423577627256798,011e8_01821,3,2,0.01,0.6135879365823957,2,2,32,2,1
1775,0.034251756842776836,011e8_01775,3,2,0.01,0.832201057263991,2,2,16,1,3
194,0.03425277565268961,011e8_00194,2,2,0.001,0.3789466039636048,1,2,128,2,3
101,0.03425327307877066,011e8_00101,2,2,0.001,0.1553216496553782,1,1,64,3,3
504,0.03427281448140769,011e8_00504,2,2,0.001,0.24170737528598796,1,8,64,3,1
731,0.03427433077131728,011e8_00731,2,2,0.001,0.5486165966923158,2,2,64,2,3
486,0.0342802619993471,011e8_00486,2,2,0.1,0.1211546733520196,1,8,32,2,1
74,0.0342850872857663,011e8_00074,2,2,0.01,0.7891480001574966,1,1,128,2,3
111,0.03429002570480684,011e8_00111,2,2,0.01,0.2436033530006867,1,1,32,3,1
176,0.03429048466622596,011e8_00176,2,2,0.1,0.104684902202209,1,2,64,1,3
327,0.03429313045777127,011e8_00327,2,2,0.001,0.6394853512128817,1,4,128,2,1
317,0.03430346244887438,011e8_00317,2,2,0.001,0.317173499946798,1,4,8,2,3
1751,0.03430793466412023,011e8_01751,3,2,0.1,0.4904225110013656,2,1,64,3,3
1747,0.03431221557906587,011e8_01747,3,2,0.1,0.29092651604697056,2,1,32,3,2
1797,0.034327751731980924,011e8_01797,3,2,0.1,0.6440167392413964,2,2,128,1,1
635,0.03433179665179537,011e8_00635,2,2,0.001,0.8438686744001376,2,1,16,3,3
1781,0.0343481629927211,011e8_01781,3,2,0.01,0.673379033614355,2,2,64,1,3
249,0.03435436457384992,011e8_00249,2,2,0.01,0.1024651179337794,1,2,64,3,1
136,0.034356611223250275,011e8_00136,2,2,0.001,0.6332451325918128,1,2,8,1,2
